label,comments,ID
0,2021 ửa như các idol ở đấng tối cao,0
-1,ceck ceed dtc genz ,1
-1,oh b52  bbh nx nè,2
-1,hữu phỉ ,3
-1,Chúa Hề Cướp Box,4
0,ê quen vãi mà k nhớ,5
0,đại thiên cung aka b52 á hả,6
0,đúm rùi tr ơi nhắc 2021 là toàn 1 thời kỉ niệm,7
0,uay đúng 1 thời b52 bbh hữu phỉ ,8
0,samee,9
0,t qtv b52 nè ní,10
0,tớ cx ở b52 nè cậu,11
0,Tỉ lãothiên cung,12
2,kì thị dân war ,13
2,1 nói sợ tí bị tap hay xin fb chetttt,14
0,nó vô spam mấy câu xong mình k rep cái kêu mình bại nè,15
0,nãy trên kia có th xin fb r kìa,16
0,ngầu vãi trước bị k chấp hâh,17
0,sợ lắm rồi ,18
0,ê hồi đó t bị tag box t call nó kh dám bắt máy,19
0,hồi đó t bị 3 đứa dí mà cnó chửi k lại t nữa,20
0,chuẩn,21
0,m chơi kèo ý tưởng k ,22
0,nói ra sợ bị xin fb,23
0,đẹp gái nên xin,24
2,t ki thi lu ao tuong minh dgai dc ngk xint ,25
2,trên mxh oai lắm bọn nó ra ngoài đời nín thin thít cả đám ,26
0,giống,28
0,Same,29
0,thiệt á,31
0,Như t hồi xưa nghe câu này là kieu  xin cái fb lên kèo,32
0,đã thả tim,33
0,ké,34
-1,1 ,35
0,giống nói sợ bị xin fb ,36
2,Bữa con kia nó chê t r nói gì m quen dc nhieu ng r t dc 30 thang r  thấy hài dữ r đó,37
2,t tính nói mà sợ bị tap,38
0,T hw 2023 hot face 1 thời đây này,39
0,dân war là gì vậy ạ,40
0,coi chừng bị tảd ấy,43
0,t mới bỏ hqua,44
0,nói k lại hở cái ad vào nhóm,45
-1,lh,46
0,tsao,47
0,tạii k thích,48
0,ýe,49
0,Cứu kco nổi,50
0,Thấy ngầu lắm à b ,53
0,ngầu,54
0,bắt tay ,55
0,1 táp cx ko sợ,56
-1,dân ửa,57
0,tui hả,58
0,cạn ngônrén,59
0,tim tim,60
0,ửa lgi còn ở 2022 trở đi có trở về 2019 đổ về còn nghe đc,61
0,t nghỉ war dc 2 năm r,62
0,t từng là dân war chính hiệu đi dạy đạo lí ,63
0,Từng lm dân ửa 1 thời,64
0,nhớ hồi lúc dân war kch vs ngta quá tr còn trong b52 nữa,65
0,Ửa nhm trên za lỏ ,66
0,dân war là dân j mấy chế,67
0,t từng là dân war,68
2,ghét mấy thể loại dựa hơi bảnh 0 thêm vào nhóm bảnh một gà một cựa3,69
